"H","L0601","027","218248","IBFavorite","88871a6e-db5b-4dd4-8d5f-cffcb28d47fc","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","1151422",,,,,,"1","15 LB","LB","SYSCO RELIANCE","401417-896","Bacon Layflat 14-18 Per # Smoked","Meats",47.52,,"N",,false,,0,15,,"STOCKED",,"N",,
"P","7421761",,,,,,"106","1.5 OZ","OZ","SMITHFIELD","00070247138149","Sausage Pork Patty Cooked 1.5 Oz","Meats",32.27,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7143223",,,,,,"96","1.66OZ","OZ","BEYOND MEAT","2P02-001","Sausage Patty Plant Bade","Frozen",91.2,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","4617771",,,,,,"168","1.5 OZ","OZ","ABBOTSFORD EGG PRODUCTS","14616-70400-00","Egg Patty Fried Cage Free","Dairy",45.61,,"N",,false,,0,15.75,,"STOCKED",,"N",,
"P","1161181",,,,,,"1","30 LB","LB","WHOLESOME FARMS IMPERIAL","STK11773","Cheese Cream Bulk","Dairy",61.52,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","2700171",,,,,,"54","3.17OZ","OZ","SCHULSTAD USA INC","17911500","Croissant Large Curved Butter","Frozen",77.55,,"N",,false,,0,10.7,,"STOCKED",,"N",,
"P","2700817",,,,,,"66","3.35OZ","OZ","SCHULSTAD USA INC","16921500","Croissant Large Almond Filled","Frozen",86.84,,"N",,false,,0,13.8,,"STOCKED",,"N",,
"P","2700827",,,,,,"66","3.35OZ","OZ","SCHULSTAD USA INC","21821500","Croissant Chocolate Dough","Frozen",92.65,,"N",,false,,0,13.8,,"STOCKED",,"N",,
"P","1080739",,,,,,"108","1.5 OZ","CT","SCHULSTAD USA INC","22331000","Dough Croissant Mini Assorted Filled","Frozen",81.66,,"N",,false,,0,9.6,,"STOCKED",,"N",,
"P","2072536",,,,,,"12","32 OZ","OZ","SYSCO CLASSIC","2072536","Juice Orange 100% 3:1 Yield Concentrate Carton","Dispenser Beverage",79.71,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","8821554",,,,,,"12","32 OZ","OZ","SYSCO CLASSIC","8821554","Drink Lemonade Concentrate 3:1 Yield Carton","Dispenser Beverage",52.18,,"N",,false,,0,30.5,,"STOCKED",,"N",,
"P","0017354",,,,,,"120","63 G","G","ORE IDA","OIF00589A","Potato Hash Brown Golden Patty","Frozen",22.97,,"N",,false,,0,16.875,,"STOCKED",,"N",,
"P","7127824",,,,,,"12","12 CT","CT","FATHER SAM","1FS 01104","Wrap Tortilla Wheat 10""","Frozen",30.99,,"N",,false,,0,18,,"STOCKED",,"N",,
"P","1865161",,,,,,"12","1 QT","QT","LAND O LAKES","100748","Creamer Half & Half Ultra High Temperature","Dairy",31.1,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","7073742",,,,,,"6","52 OZ","OZ","PLANET OAT MILKS","15619","Milk Original Oat Extra Creamy","Dairy",16.78,,"N",,false,,0,21.96,,"STOCKED",,"N",,
"P","5925987",,,,,,"36","1 LB","LB","WHOLESOME FARMS IMPERIAL","4182006","Butter Solid Usda Aa Salted","Dairy",151,,"N",,false,,0,36,,"STOCKED",,"N",,
"P","3031442",,,,,,"36","1 LB","LB","WHOLESOME FARMS IMPERIAL","3178","Butter Solid Unsalted Usda Aa","Dairy",140.08,,"N",,false,,0,36,,"STOCKED",,"N",,
"P","6472502",,,,,,"6","4 LB","LB","YOPLAIT YOGURT","16632000","Yogurt Vanilla Parfait Pouch","Dairy",45.79,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","9035601",,,,,,"4","5 LB","LB","BLOCK & BARREL CLASSIC","STK03334","Cheese American 160 Slices Deli Sliced White","Dairy",61.04,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1203207",,,,,,"4","5LB","LB","WHOLESOME FARMS CLASSIC","1003379","Cream Sour All Natural Grade A","Dairy",39.42,11.95,"N",,true,,1,20,,"STOCKED",,"N",,
"P","2839082",,,,,,"1","50 LB","LB","GOLD MEDAL (GEN MILLS)","50143000","Flour Hi-gluten All Trump Unbleached","Canned & Dry",20.05,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","5797467",,,,,,"12","QTS","QT","BYRNE DAIRY","248","Buttermilk 1% Low Fat","Dairy",24.65,2.65,"N",,true,,1,35,,"STOCKED",,"N",,